Strain name,Amikacin,Tobramycin,Gentamicin,Imipenem,Meropenem,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/ tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/ sulfamethoxazole,Ampicillin/ sulbactam,Colistin,Polymyxin B,Tetracycline,Minocycline,Piperacillin
Acinetobacterbaumanniistrainabcrpsth11,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth12,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh04,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh05,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh06,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh07,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh08,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh09,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh10,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh11,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh12,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh13,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh14,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh15,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainbl02,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl03,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl04,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl05,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl06,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl07,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl08,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl09,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl10,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl11,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl12,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl13,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl14,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl15,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl16,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl17,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl18,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl19,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl20,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl21,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl22,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl23,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainbl24,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Intermediate,Intermediate,NA,NA,NA
Acinetobacterbaumanniistrainccf1,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf10,NA,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf11,NA,Susceptible,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf12,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Intermediate,Susceptible,Resistant
Acinetobacterbaumanniistrainccf13,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf14,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf15,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant
Acinetobacterbaumanniistrainccf16,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf17,NA,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf18,Susceptible,Susceptible,Intermediate,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf19,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Susceptible,NA,Susceptible,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf2,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Susceptible,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf20,NA,Susceptible,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf21,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf22,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrainccf23,Resistant,Intermediate,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf24,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Susceptible,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf25,Susceptible,Susceptible,Intermediate,Intermediate,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf26,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf28,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf29,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf3,Resistant,Susceptible,Susceptible,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,NA,NA,Intermediate,Susceptible,Resistant
Acinetobacterbaumanniistrainccf30,NA,NA,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf31,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant
Acinetobacterbaumanniistrainccf32,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf33,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf34,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf35,Susceptible,Intermediate,Susceptible,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Intermediate,Susceptible,Susceptible,NA,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant
Acinetobacterbaumanniistrainccf36,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Strain could not be classified,NA,NA,Intermediate,Susceptible,Resistant
Acinetobacterbaumanniistrainccf37,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Susceptible,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf38,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Intermediate,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf39,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Susceptible,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf4,Resistant,Intermediate,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf40,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf41,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,NA,NA,NA,Strain could not be classified,NA,NA,NA,Susceptible,NA
Acinetobacterbaumanniistrainccf42,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Intermediate,Resistant
Acinetobacterbaumanniistrainccf43,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf44,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf45,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Intermediate,NA,Susceptible,NA,NA,Resistant,Susceptible,Resistant
Acinetobacterbaumanniistrainccf47,Resistant,Intermediate,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Resistant,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf48,NA,Intermediate,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf49,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Intermediate,Strain could not be classified,NA,NA,Resistant,Resistant,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,NA
