Strain name,Amikacin,Tobramycin,Gentamicin,Imipenem,Meropenem,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/ tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/ sulfamethoxazole,Ampicillin/ sulbactam,Colistin,Polymyxin B,Tetracycline,Minocycline,Piperacillin
Acinetobacterbaumanniistrain2992,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain329,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Susceptible,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain34301,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain360,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain362,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain456,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain468,NA,Susceptible,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain473,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrain5326,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain5457,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain5464,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain6507,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Strain could not be classified,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,Strain could not be classified,Susceptible,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrain87,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,Resistant,NA,NA,NA,Strain could not be classified,NA,NA
Acinetobacterbaumanniistrainab105,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Strain could not be classified,NA,NA,Strain could not be classified,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrainab238,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Strain could not be classified,NA,NA,Strain could not be classified,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrainab241,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Strain could not be classified,NA,NA,Strain could not be classified,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrainab32,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Strain could not be classified,NA,NA,Strain could not be classified,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrainab905,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,NA,NA,Strain could not be classified,NA,NA,Strain could not be classified,Susceptible,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth03,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth04,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth05,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth06,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth07,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth08,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth09,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth10,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth11,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrpsth12,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh04,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh05,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh06,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh07,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh08,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh09,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh10,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh11,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh12,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh13,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh14,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainabcrputh15,NA,NA,NA,Resistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainbl02,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl03,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl04,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl05,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl06,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl07,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl08,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl09,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl10,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl11,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl12,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl13,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl14,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl15,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl16,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl17,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl18,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl19,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl20,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl21,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl22,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl23,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainbl24,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,NA,NA,Strain could not be classified,NA,NA,Susceptible,Strain could not be classified,NA,NA,NA
Acinetobacterbaumanniistrainccf1,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf10,NA,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf11,NA,Susceptible,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf12,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf13,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf14,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf15,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf16,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf17,NA,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf18,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf19,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf2,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf20,NA,Susceptible,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf21,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf22,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA
Acinetobacterbaumanniistrainccf23,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf24,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf25,Susceptible,Susceptible,Resistant,Strain could not be classified,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf26,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf28,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf29,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf3,Resistant,Susceptible,Susceptible,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf30,NA,NA,Resistant,NA,NA,NA,Resistant,NA,Strain could not be classified,NA,NA,Strain could not be classified,NA,NA,NA,Strain could not be classified,NA,NA,NA,NA,NA
Acinetobacterbaumanniistrainccf31,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf32,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf33,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf34,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf35,Resistant,Resistant,Susceptible,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf36,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf37,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
Acinetobacterbaumanniistrainccf38,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified,NA,Strain could not be classified,NA,NA,Strain could not be classified,Strain could not be classified,Strain could not be classified
